Condition,Occurrences,BestCluster,Purity,Precision,F1
none,38,2,0.947368421052632,0.439024390243902,0.6
fibromyalgia,4,4,1,0.5,0.666666666666667
migraine,4,2,1,0.0487804878048781,0.0930232558139535
asthma,3,3,0.666666666666667,0.25,0.363636363636364
pneumonia,2,3,1,0.25,0.4
chronic_migraine,2,2,1,0.024390243902439,0.0476190476190476
coronary_artery_disease,2,2,1,0.024390243902439,0.0476190476190476
gastritis,2,2,1,0.024390243902439,0.0476190476190476
heart_disease,2,2,1,0.024390243902439,0.0476190476190476
heart_failure,2,2,1,0.024390243902439,0.0476190476190476
herniated_disc,2,2,1,0.024390243902439,0.0476190476190476
ibs,2,2,1,0.024390243902439,0.0476190476190476
rheumatoid_arthritis,2,2,1,0.024390243902439,0.0476190476190476
tension_headaches,2,2,1,0.024390243902439,0.0476190476190476
anemia,2,2,0.5,0.0121951219512195,0.0238095238095238
acute_mi,1,1,1,0.5,0.666666666666667
bronchitis,1,3,1,0.125,0.222222222222222
chronic_bronchitis,1,3,1,0.125,0.222222222222222
chronic_fatigue,1,4,1,0.125,0.222222222222222
chronic_fatigue_syndrome,1,4,1,0.125,0.222222222222222
anxiety,1,2,1,0.0121951219512195,0.0240963855421687
arthritis,1,2,1,0.0121951219512195,0.0240963855421687
copd,1,2,1,0.0121951219512195,0.0240963855421687
degenerative_disc_disease,1,2,1,0.0121951219512195,0.0240963855421687
diabetes,1,2,1,0.0121951219512195,0.0240963855421687
early_arthritis,1,2,1,0.0121951219512195,0.0240963855421687
exercise_asthma,1,2,1,0.0121951219512195,0.0240963855421687
gallstones,1,2,1,0.0121951219512195,0.0240963855421687
hypertension,1,2,1,0.0121951219512195,0.0240963855421687
low_blood_pressure,1,2,1,0.0121951219512195,0.0240963855421687
